419 RAT  	Bonthain Rats
420 RAT  	Brown Rat
421 RAT  	Bush Rats
422 RAT  	Cape York Rats
423 RAT  	Christmas Island Rats
424 RAT  	Dusky Rats
425 RAT  	Himalayan Field Rats
426 RAT  	Himalayan Rats
427 RAT  	Little Soft Furred Rats
428 RAT  	Long-haired Rats
429 RAT  	New Ireland Forest Rats
430 RAT  	Nillu Rats
431 RAT  	Polynesian Rats
432 RAT  	Rice-field Rats
433 RAT  	Sikkim Rats
434 TORTOISE  	African Spurred Tortoise
435 TORTOISE  	Aldabra Tortoise
436 TORTOISE  	Leopard Tortoise
437 TORTOISE  	Russian Tortoise
438 TORTOISE  	Sulcata Tortoise
439 TORTOISE  	Red-Footed Tortoise
440 TORTOISE  	Radiated Tortoise
441 TORTOISE  	Malacochersus Tornieri
442 TORTOISE  Pancake Tortoise)
443 TORTOISE  	Hermanns Tortoise
444 TORTOISE  	Marginated Tortoise
445 TORTOISE  	Gopher Tortoise
446 TORTOISE  	Greek Tortoise
447 TORTOISE  	Galapagos Tortoise
448 TORTOISE  	Elongated Tortoise
449 TORTOISE  	Hingeback Tortoise
450 TORTOISE  	Yellow Foot Tortoise
451 TORTOISE  	Desert Tortoise
